Seq_132_LinJ.08,,,,,
Seq_133_LinJ.08,Seq_136_LinJ.08,,,,
Seq_134_LinJ.08,,,,,
Seq_135_LinJ.08,,,,,
Seq_137_LinJ.08,,,,,
Seq_138_LinJ.08,,,,,
Seq_139_LinJ.08,Seq_141_LinJ.08,Seq_142_LinJ.08,,,
Seq_140_LinJ.08,,,,,
Seq_143_LinJ.08,Seq_145_LinJ.08,Seq_151_LinJ.08,,,
Seq_144_LinJ.08,Seq_146_LinJ.08,Seq_147_LinJ.08,Seq_148_LinJ.08,Seq_149_LinJ.08,Seq_150_LinJ.08
Seq_152_LinJ.08,Seq_153_LinJ.08,Seq_154_LinJ.08,Seq_155_LinJ.08,,
Seq_156_LinJ.08,Seq_157_LinJ.08,Seq_163_LinJ.08,Seq_164_LinJ.08,Seq_165_LinJ.08,Seq_166_LinJ.08
Seq_158_LinJ.08,Seq_159_LinJ.08,Seq_161_LinJ.08,Seq_162_LinJ.08,,
Seq_160_LinJ.08,,,,,
