Seq_1046_LinJ.29,Seq_1047_LinJ.29,Seq_1049_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1050_LinJ.29,Seq_1063_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1051_LinJ.29,Seq_1052_LinJ.29,Seq_1053_LinJ.29,Seq_1054_LinJ.29,Seq_1059_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1055_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1056_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1057_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1058_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1060_LinJ.29,Seq_1064_LinJ.29,Seq_1071_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1061_LinJ.29,Seq_1062_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1065_LinJ.29,Seq_1070_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1066_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1067_LinJ.29,Seq_1068_LinJ.29,Seq_1069_LinJ.29,Seq_1072_LinJ.29,Seq_1074_LinJ.29,Seq_1075_LinJ.29,Seq_1076_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1073_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1077_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1078_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1079_LinJ.29,Seq_1082_LinJ.29,Seq_1083_LinJ.29,Seq_1084_LinJ.29,Seq_1085_LinJ.29,Seq_1106_LinJ.29,Seq_1108_LinJ.29,Seq_1109_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1080_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1088_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1048_LinJ.29,Seq_1090_LinJ.29,Seq_1091_LinJ.29,Seq_1092_LinJ.29,Seq_1096_LinJ.29,Seq_1097_LinJ.29,Seq_1106_LinJ.29,Seq_1108_LinJ.29,Seq_1109_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1093_LinJ.29,Seq_1100_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1094_LinJ.29,Seq_1099_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1101_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1102_LinJ.29,Seq_1103_LinJ.29,Seq_1104_LinJ.29,Seq_1105_LinJ.29,Seq_1111_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1079_LinJ.29,Seq_1089_LinJ.29,Seq_1090_LinJ.29,Seq_1091_LinJ.29,Seq_1092_LinJ.29,Seq_1095_LinJ.29,Seq_1096_LinJ.29,Seq_1097_LinJ.29,Seq_1098_LinJ.29,Seq_1106_LinJ.29,Seq_1107_LinJ.29,Seq_1108_LinJ.29,Seq_1109_LinJ.29,Seq_1110_LinJ.29,Seq_1113_LinJ.29,Seq_1115_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1112_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq_1089_LinJ.29,Seq_1095_LinJ.29,Seq_1098_LinJ.29,Seq_1107_LinJ.29,Seq_1108_LinJ.29,Seq_1110_LinJ.29,Seq_1113_LinJ.29,Seq_1114_LinJ.29,Seq_1115_LinJ.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
