Seq_1258_LinJ.30,,,,,,,,,,,,,
Seq_1259_LinJ.30,,,,,,,,,,,,,
Seq_1260_LinJ.30,,,,,,,,,,,,,
Seq_1261_LinJ.30,,,,,,,,,,,,,
Seq_1262_LinJ.30,Seq_1263_LinJ.30,Seq_1264_LinJ.30,,,,,,,,,,,
Seq_1265_LinJ.30,Seq_1266_LinJ.30,Seq_1267_LinJ.30,Seq_1268_LinJ.30,Seq_1271_LinJ.30,Seq_1272_LinJ.30,Seq_1274_LinJ.30,,,,,,,
Seq_1269_LinJ.30,,,,,,,,,,,,,
Seq_1270_LinJ.30,Seq_1273_LinJ.30,,,,,,,,,,,,
Seq_1275_LinJ.30,Seq_1277_LinJ.30,Seq_1278_LinJ.30,Seq_1279_LinJ.30,Seq_1280_LinJ.30,,,,,,,,,
Seq_1276_LinJ.30,Seq_1282_LinJ.30,Seq_1285_LinJ.30,,,,,,,,,,,
Seq_1283_LinJ.30,Seq_1286_LinJ.30,,,,,,,,,,,,
Seq_1284_LinJ.30,Seq_1287_LinJ.30,Seq_1288_LinJ.30,,,,,,,,,,,
Seq_1292_LinJ.30,Seq_1311_LinJ.30,,,,,,,,,,,,
Seq_1281_LinJ.30,Seq_1289_LinJ.30,Seq_1290_LinJ.30,Seq_1291_LinJ.30,Seq_1293_LinJ.30,Seq_1294_LinJ.30,Seq_1295_LinJ.30,Seq_1296_LinJ.30,Seq_1297_LinJ.30,,,,,
Seq_1298_LinJ.30,Seq_1299_LinJ.30,Seq_1300_LinJ.30,Seq_1302_LinJ.30,Seq_1303_LinJ.30,Seq_1304_LinJ.30,Seq_1305_LinJ.30,Seq_1308_LinJ.30,Seq_1309_LinJ.30,Seq_1312_LinJ.30,Seq_1313_LinJ.30,Seq_1316_LinJ.30,Seq_1317_LinJ.30,
Seq_1306_LinJ.30,Seq_1314_LinJ.30,,,,,,,,,,,,
Seq_1307_LinJ.30,,,,,,,,,,,,,
Seq_1310_LinJ.30,,,,,,,,,,,,,
Seq_1315_LinJ.30,,,,,,,,,,,,,
Seq_1318_LinJ.30,,,,,,,,,,,,,
Seq_1319_LinJ.30,,,,,,,,,,,,,
Seq_1320_LinJ.30,,,,,,,,,,,,,
Seq_1301_LinJ.30,Seq_1321_LinJ.30,Seq_1322_LinJ.30,Seq_1323_LinJ.30,,,,,,,,,,
Seq_1324_LinJ.30,Seq_1325_LinJ.30,,,,,,,,,,,,
Seq_1326_LinJ.30,Seq_1346_LinJ.30,,,,,,,,,,,,
Seq_1327_LinJ.30,,,,,,,,,,,,,
Seq_1328_LinJ.30,Seq_1330_LinJ.30,Seq_1332_LinJ.30,Seq_1333_LinJ.30,Seq_1337_LinJ.30,Seq_1338_LinJ.30,,,,,,,,
Seq_1329_LinJ.30,Seq_1335_LinJ.30,Seq_1336_LinJ.30,Seq_1340_LinJ.30,Seq_1343_LinJ.30,Seq_1347_LinJ.30,Seq_1348_LinJ.30,Seq_1349_LinJ.30,Seq_1350_LinJ.30,Seq_1351_LinJ.30,Seq_1352_LinJ.30,Seq_1354_LinJ.30,Seq_1355_LinJ.30,Seq_1356_LinJ.30
Seq_1331_LinJ.30,,,,,,,,,,,,,
Seq_1334_LinJ.30,,,,,,,,,,,,,
Seq_1339_LinJ.30,Seq_1342_LinJ.30,Seq_1344_LinJ.30,,,,,,,,,,,
Seq_1341_LinJ.30,Seq_1345_LinJ.30,,,,,,,,,,,,
Seq_1353_LinJ.30,,,,,,,,,,,,,
Seq_1357_LinJ.30,,,,,,,,,,,,,
