Seq_1974_LinJ.36,,,,,,
Seq_1975_LinJ.36,Seq_1978_LinJ.36,,,,,
Seq_1976_LinJ.36,Seq_1979_LinJ.36,,,,,
Seq_1977_LinJ.36,,,,,,
Seq_1980_LinJ.36,Seq_1981_LinJ.36,Seq_1982_LinJ.36,Seq_1983_LinJ.36,,,
Seq_1984_LinJ.36,,,,,,
Seq_1985_LinJ.36,Seq_1988_LinJ.36,Seq_1992_LinJ.36,Seq_1995_LinJ.36,,,
Seq_1986_LinJ.36,Seq_1989_LinJ.36,Seq_1993_LinJ.36,Seq_1996_LinJ.36,Seq_1997_LinJ.36,Seq_1999_LinJ.36,
Seq_1987_LinJ.36,Seq_1991_LinJ.36,Seq_1994_LinJ.36,,,,
Seq_1990_LinJ.36,,,,,,
Seq_1998_LinJ.36,Seq_2001_LinJ.36,Seq_2002_LinJ.36,,,,
Seq_2000_LinJ.36,,,,,,
Seq_2003_LinJ.36,Seq_2004_LinJ.36,,,,,
Seq_2005_LinJ.36,Seq_2007_LinJ.36,Seq_2010_LinJ.36,,,,
Seq_2006_LinJ.36,,,,,,
Seq_2008_LinJ.36,Seq_2009_LinJ.36,Seq_2012_LinJ.36,,,,
Seq_2011_LinJ.36,,,,,,
Seq_2013_LinJ.36,Seq_2015_LinJ.36,Seq_2018_LinJ.36,Seq_2023_LinJ.36,,,
Seq_2014_LinJ.36,Seq_2017_LinJ.36,Seq_2020_LinJ.36,Seq_2021_LinJ.36,Seq_2022_LinJ.36,Seq_2024_LinJ.36,
Seq_2016_LinJ.36,Seq_2019_LinJ.36,,,,,
Seq_2025_LinJ.36,Seq_2026_LinJ.36,Seq_2027_LinJ.36,Seq_2029_LinJ.36,,,
Seq_2028_LinJ.36,,,,,,
Seq_2030_LinJ.36,,,,,,
Seq_2031_LinJ.36,,,,,,
Seq_2032_LinJ.36,,,,,,
Seq_2033_LinJ.36,Seq_2034_LinJ.36,,,,,
Seq_2035_LinJ.36,Seq_2037_LinJ.36,,,,,
Seq_2036_LinJ.36,,,,,,
Seq_2038_LinJ.36,,,,,,
Seq_2039_LinJ.36,Seq_2041_LinJ.36,,,,,
Seq_2040_LinJ.36,Seq_2045_LinJ.36,Seq_2046_LinJ.36,,,,
Seq_2042_LinJ.36,Seq_2043_LinJ.36,Seq_2044_LinJ.36,,,,
Seq_2047_LinJ.36,,,,,,
Seq_2048_LinJ.36,,,,,,
Seq_2049_LinJ.36,Seq_2051_LinJ.36,,,,,
Seq_2050_LinJ.36,,,,,,
Seq_2052_LinJ.36,Seq_2053_LinJ.36,Seq_2054_LinJ.36,Seq_2055_LinJ.36,,,
Seq_2056_LinJ.36,,,,,,
Seq_2057_LinJ.36,,,,,,
Seq_2058_LinJ.36,,,,,,
Seq_2059_LinJ.36,,,,,,
Seq_2060_LinJ.36,,,,,,
Seq_2061_LinJ.36,Seq_2062_LinJ.36,Seq_2063_LinJ.36,,,,
Seq_2064_LinJ.36,,,,,,
Seq_2065_LinJ.36,Seq_2066_LinJ.36,Seq_2067_LinJ.36,,,,
Seq_2068_LinJ.36,,,,,,
Seq_2069_LinJ.36,,,,,,
Seq_2070_LinJ.36,Seq_2071_LinJ.36,,,,,
Seq_2072_LinJ.36,,,,,,
Seq_2073_LinJ.36,Seq_2074_LinJ.36,,,,,
Seq_2075_LinJ.36,,,,,,
Seq_2076_LinJ.36,Seq_2078_LinJ.36,Seq_2079_LinJ.36,Seq_2082_LinJ.36,Seq_2083_LinJ.36,,
Seq_2077_LinJ.36,Seq_2080_LinJ.36,,,,,
Seq_2081_LinJ.36,,,,,,
Seq_2084_LinJ.36,,,,,,
Seq_2085_LinJ.36,Seq_2088_LinJ.36,,,,,
Seq_2086_LinJ.36,Seq_2089_LinJ.36,,,,,
Seq_2087_LinJ.36,,,,,,
Seq_2090_LinJ.36,,,,,,
Seq_2091_LinJ.36,,,,,,
Seq_2092_LinJ.36,,,,,,
Seq_2093_LinJ.36,,,,,,
Seq_2094_LinJ.36,Seq_2100_LinJ.36,Seq_2103_LinJ.36,,,,
Seq_2095_LinJ.36,Seq_2098_LinJ.36,Seq_2101_LinJ.36,Seq_2102_LinJ.36,Seq_2104_LinJ.36,Seq_2105_LinJ.36,
Seq_2096_LinJ.36,Seq_2099_LinJ.36,,,,,
Seq_2097_LinJ.36,,,,,,
Seq_2106_LinJ.36,Seq_2107_LinJ.36,Seq_2110_LinJ.36,,,,
Seq_2108_LinJ.36,Seq_2109_LinJ.36,,,,,
Seq_2111_LinJ.36,,,,,,
Seq_2112_LinJ.36,,,,,,
Seq_2113_LinJ.36,Seq_2114_LinJ.36,Seq_2118_LinJ.36,Seq_2119_LinJ.36,Seq_2121_LinJ.36,Seq_2125_LinJ.36,Seq_2128_LinJ.36
Seq_2115_LinJ.36,Seq_2116_LinJ.36,,,,,
Seq_2117_LinJ.36,,,,,,
Seq_2120_LinJ.36,Seq_2127_LinJ.36,,,,,
Seq_2122_LinJ.36,,,,,,
Seq_2123_LinJ.36,Seq_2124_LinJ.36,Seq_2126_LinJ.36,Seq_2129_LinJ.36,Seq_2130_LinJ.36,Seq_2131_LinJ.36,
