Seq_214_LinJ.11,Seq_215_LinJ.11,Seq_252_LinJ.11,,,
Seq_216_LinJ.11,Seq_217_LinJ.11,Seq_218_LinJ.11,Seq_219_LinJ.11,,
Seq_220_LinJ.11,,,,,
Seq_221_LinJ.11,,,,,
Seq_222_LinJ.11,,,,,
Seq_223_LinJ.11,Seq_227_LinJ.11,Seq_246_LinJ.11,,,
Seq_224_LinJ.11,Seq_228_LinJ.11,Seq_229_LinJ.11,Seq_230_LinJ.11,Seq_231_LinJ.11,Seq_232_LinJ.11
Seq_225_LinJ.11,Seq_234_LinJ.11,Seq_235_LinJ.11,Seq_243_LinJ.11,,
Seq_226_LinJ.11,Seq_233_LinJ.11,Seq_242_LinJ.11,,,
Seq_236_LinJ.11,Seq_237_LinJ.11,Seq_238_LinJ.11,,,
Seq_239_LinJ.11,,,,,
Seq_240_LinJ.11,,,,,
Seq_241_LinJ.11,,,,,
Seq_244_LinJ.11,Seq_245_LinJ.11,Seq_247_LinJ.11,Seq_248_LinJ.11,Seq_249_LinJ.11,
Seq_250_LinJ.11,Seq_251_LinJ.11,,,,
