Seq_284_LinJ.12,Seq_285_LinJ.12,,,,,,
Seq_286_LinJ.12,,,,,,,
Seq_287_LinJ.12,,,,,,,
Seq_288_LinJ.12,Seq_291_LinJ.12,,,,,,
Seq_289_LinJ.12,Seq_292_LinJ.12,Seq_293_LinJ.12,Seq_294_LinJ.12,Seq_295_LinJ.12,,,
Seq_290_LinJ.12,,,,,,,
Seq_296_LinJ.12,,,,,,,
Seq_297_LinJ.12,Seq_301_LinJ.12,,,,,,
Seq_298_LinJ.12,,,,,,,
Seq_299_LinJ.12,Seq_302_LinJ.12,,,,,,
Seq_300_LinJ.12,,,,,,,
Seq_303_LinJ.12,,,,,,,
Seq_304_LinJ.12,,,,,,,
Seq_305_LinJ.12,,,,,,,
Seq_306_LinJ.12,,,,,,,
Seq_307_LinJ.12,,,,,,,
Seq_308_LinJ.12,Seq_309_LinJ.12,Seq_310_LinJ.12,Seq_311_LinJ.12,Seq_312_LinJ.12,Seq_313_LinJ.12,Seq_314_LinJ.12,Seq_315_LinJ.12
Seq_316_LinJ.12,,,,,,,
Seq_317_LinJ.12,,,,,,,
Seq_318_LinJ.12,Seq_325_LinJ.12,,,,,,
Seq_319_LinJ.12,,,,,,,
Seq_320_LinJ.12,,,,,,,
Seq_321_LinJ.12,Seq_322_LinJ.12,Seq_323_LinJ.12,Seq_326_LinJ.12,,,,
Seq_324_LinJ.12,,,,,,,
Seq_327_LinJ.12,,,,,,,
