Seq_293_LinJ.13,Seq_322_LinJ.13,,,,,
Seq_294_LinJ.13,Seq_296_LinJ.13,Seq_297_LinJ.13,,,,
Seq_295_LinJ.13,,,,,,
Seq_298_LinJ.13,Seq_300_LinJ.13,Seq_302_LinJ.13,Seq_304_LinJ.13,Seq_308_LinJ.13,,
Seq_299_LinJ.13,,,,,,
Seq_301_LinJ.13,,,,,,
Seq_303_LinJ.13,Seq_306_LinJ.13,,,,,
Seq_305_LinJ.13,Seq_307_LinJ.13,,,,,
Seq_309_LinJ.13,Seq_310_LinJ.13,,,,,
Seq_311_LinJ.13,Seq_312_LinJ.13,Seq_315_LinJ.13,Seq_316_LinJ.13,Seq_317_LinJ.13,Seq_318_LinJ.13,Seq_320_LinJ.13
Seq_313_LinJ.13,Seq_314_LinJ.13,Seq_319_LinJ.13,,,,
Seq_321_LinJ.13,,,,,,
