Seq_879_LinJ.26,Seq_926_LinJ.26,Seq_926_LinJ.26,,,,,,,,,,,,,,,
Seq_880_LinJ.26,Seq_881_LinJ.26,Seq_882_LinJ.26,Seq_883_LinJ.26,Seq_887_LinJ.26,,,,,,,,,,,,,
Seq_884_LinJ.26,,,,,,,,,,,,,,,,,
Seq_885_LinJ.26,,,,,,,,,,,,,,,,,
Seq_886_LinJ.26,,,,,,,,,,,,,,,,,
Seq_888_LinJ.26,Seq_889_LinJ.26,Seq_890_LinJ.26,Seq_891_LinJ.26,Seq_892_LinJ.26,,,,,,,,,,,,,
Seq_893_LinJ.26,,,,,,,,,,,,,,,,,
Seq_894_LinJ.26,Seq_895_LinJ.26,Seq_898_LinJ.26,Seq_899_LinJ.26,Seq_899_LinJ.26,Seq_900_LinJ.26,Seq_901_LinJ.26,Seq_903_LinJ.26,Seq_904_LinJ.26,,,,,,,,,
Seq_896_LinJ.26,Seq_910_LinJ.26,,,,,,,,,,,,,,,,
Seq_897_LinJ.26,,,,,,,,,,,,,,,,,
Seq_894_LinJ.26,Seq_895_LinJ.26,Seq_898_LinJ.26,Seq_899_LinJ.26,Seq_899_LinJ.26,Seq_900_LinJ.26,Seq_901_LinJ.26,Seq_903_LinJ.26,Seq_903_LinJ.26,Seq_904_LinJ.26,,,,,,,,
Seq_894_LinJ.26,Seq_894_LinJ.26,Seq_895_LinJ.26,Seq_895_LinJ.26,Seq_898_LinJ.26,Seq_898_LinJ.26,Seq_899_LinJ.26,Seq_899_LinJ.26,Seq_899_LinJ.26,Seq_900_LinJ.26,Seq_900_LinJ.26,Seq_901_LinJ.26,Seq_901_LinJ.26,Seq_903_LinJ.26,Seq_903_LinJ.26,Seq_903_LinJ.26,Seq_904_LinJ.26,Seq_904_LinJ.26
Seq_902_LinJ.26,,,,,,,,,,,,,,,,,
Seq_894_LinJ.26,Seq_895_LinJ.26,Seq_898_LinJ.26,Seq_898_LinJ.26,Seq_899_LinJ.26,Seq_899_LinJ.26,Seq_899_LinJ.26,Seq_900_LinJ.26,Seq_901_LinJ.26,Seq_903_LinJ.26,Seq_904_LinJ.26,Seq_904_LinJ.26,,,,,,
Seq_905_LinJ.26,Seq_907_LinJ.26,Seq_908_LinJ.26,Seq_909_LinJ.26,,,,,,,,,,,,,,
Seq_906_LinJ.26,,,,,,,,,,,,,,,,,
Seq_911_LinJ.26,,,,,,,,,,,,,,,,,
Seq_912_LinJ.26,,,,,,,,,,,,,,,,,
Seq_913_LinJ.26,Seq_915_LinJ.26,,,,,,,,,,,,,,,,
Seq_914_LinJ.26,Seq_916_LinJ.26,,,,,,,,,,,,,,,,
Seq_917_LinJ.26,,,,,,,,,,,,,,,,,
Seq_918_LinJ.26,Seq_922_LinJ.26,Seq_925_LinJ.26,,,,,,,,,,,,,,,
Seq_919_LinJ.26,Seq_921_LinJ.26,Seq_923_LinJ.26,,,,,,,,,,,,,,,
Seq_920_LinJ.26,Seq_921_LinJ.26,Seq_924_LinJ.26,,,,,,,,,,,,,,,
Seq_919_LinJ.26,Seq_920_LinJ.26,Seq_921_LinJ.26,Seq_923_LinJ.26,Seq_924_LinJ.26,,,,,,,,,,,,,
Seq_879_LinJ.26,Seq_879_LinJ.26,Seq_926_LinJ.26,Seq_926_LinJ.26,Seq_926_LinJ.26,,,,,,,,,,,,,
