Seq_1139_LinJ.29,Seq_1257_LinJ.29,,,,,,,,,,,,,,,,,,,
Seq_1140_LinJ.29,Seq_1142_LinJ.29,Seq_1147_LinJ.29,,,,,,,,,,,,,,,,,,
Seq_1141_LinJ.29,Seq_1143_LinJ.29,Seq_1148_LinJ.29,,,,,,,,,,,,,,,,,,
Seq_1144_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1146_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1149_LinJ.29,Seq_1163_LinJ.29,,,,,,,,,,,,,,,,,,,
Seq_1150_LinJ.29,Seq_1151_LinJ.29,Seq_1152_LinJ.29,Seq_1153_LinJ.29,Seq_1159_LinJ.29,,,,,,,,,,,,,,,,
Seq_1154_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1155_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1156_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1157_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1158_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1160_LinJ.29,Seq_1164_LinJ.29,Seq_1170_LinJ.29,,,,,,,,,,,,,,,,,,
Seq_1161_LinJ.29,Seq_1162_LinJ.29,,,,,,,,,,,,,,,,,,,
Seq_1165_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1166_LinJ.29,Seq_1167_LinJ.29,Seq_1168_LinJ.29,Seq_1171_LinJ.29,Seq_1173_LinJ.29,Seq_1174_LinJ.29,Seq_1175_LinJ.29,,,,,,,,,,,,,,
Seq_1169_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1172_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1176_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1177_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1178_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1145_LinJ.29,Seq_1179_LinJ.29,Seq_1182_LinJ.29,Seq_1183_LinJ.29,Seq_1184_LinJ.29,Seq_1185_LinJ.29,Seq_1188_LinJ.29,Seq_1189_LinJ.29,Seq_1190_LinJ.29,Seq_1192_LinJ.29,Seq_1193_LinJ.29,Seq_1194_LinJ.29,Seq_1195_LinJ.29,Seq_1196_LinJ.29,Seq_1197_LinJ.29,Seq_1203_LinJ.29,Seq_1204_LinJ.29,Seq_1205_LinJ.29,Seq_1209_LinJ.29,Seq_1210_LinJ.29,Seq_1211_LinJ.29
Seq_1180_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1181_LinJ.29,Seq_1186_LinJ.29,Seq_1253_LinJ.29,,,,,,,,,,,,,,,,,,
Seq_1187_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1191_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1198_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1199_LinJ.29,Seq_1200_LinJ.29,Seq_1201_LinJ.29,Seq_1202_LinJ.29,Seq_1206_LinJ.29,,,,,,,,,,,,,,,,
Seq_1207_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1208_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1212_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1213_LinJ.29,Seq_1214_LinJ.29,Seq_1217_LinJ.29,,,,,,,,,,,,,,,,,,
Seq_1215_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1216_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1218_LinJ.29,Seq_1220_LinJ.29,Seq_1221_LinJ.29,Seq_1226_LinJ.29,Seq_1227_LinJ.29,Seq_1228_LinJ.29,Seq_1230_LinJ.29,,,,,,,,,,,,,,
Seq_1219_LinJ.29,Seq_1222_LinJ.29,Seq_1223_LinJ.29,Seq_1224_LinJ.29,Seq_1225_LinJ.29,Seq_1232_LinJ.29,Seq_1242_LinJ.29,Seq_1243_LinJ.29,Seq_1250_LinJ.29,Seq_1251_LinJ.29,Seq_1252_LinJ.29,Seq_1255_LinJ.29,Seq_1256_LinJ.29,,,,,,,,
Seq_1229_LinJ.29,Seq_1231_LinJ.29,,,,,,,,,,,,,,,,,,,
Seq_1233_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1234_LinJ.29,Seq_1236_LinJ.29,Seq_1237_LinJ.29,Seq_1238_LinJ.29,Seq_1239_LinJ.29,Seq_1240_LinJ.29,Seq_1241_LinJ.29,,,,,,,,,,,,,,
Seq_1235_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1244_LinJ.29,Seq_1247_LinJ.29,Seq_1248_LinJ.29,,,,,,,,,,,,,,,,,,
Seq_1245_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1246_LinJ.29,,,,,,,,,,,,,,,,,,,,
Seq_1249_LinJ.29,Seq_1254_LinJ.29,,,,,,,,,,,,,,,,,,,
