Seq_782_LinJ.23,,,,,,,,
Seq_783_LinJ.23,,,,,,,,
Seq_784_LinJ.23,Seq_801_LinJ.23,,,,,,,
Seq_785_LinJ.23,,,,,,,,
Seq_786_LinJ.23,Seq_790_LinJ.23,Seq_793_LinJ.23,Seq_794_LinJ.23,,,,,
Seq_787_LinJ.23,Seq_788_LinJ.23,Seq_789_LinJ.23,Seq_792_LinJ.23,,,,,
Seq_791_LinJ.23,Seq_795_LinJ.23,,,,,,,
Seq_796_LinJ.23,Seq_797_LinJ.23,Seq_798_LinJ.23,Seq_804_LinJ.23,Seq_805_LinJ.23,Seq_808_LinJ.23,,,
Seq_799_LinJ.23,Seq_803_LinJ.23,Seq_806_LinJ.23,Seq_807_LinJ.23,Seq_809_LinJ.23,,,,
Seq_800_LinJ.23,,,,,,,,
Seq_802_LinJ.23,,,,,,,,
Seq_810_LinJ.23,,,,,,,,
Seq_811_LinJ.23,Seq_813_LinJ.23,,,,,,,
Seq_812_LinJ.23,Seq_817_LinJ.23,Seq_834_LinJ.23,,,,,,
Seq_814_LinJ.23,,,,,,,,
Seq_815_LinJ.23,,,,,,,,
Seq_816_LinJ.23,Seq_818_LinJ.23,Seq_823_LinJ.23,,,,,,
Seq_819_LinJ.23,,,,,,,,
Seq_820_LinJ.23,Seq_821_LinJ.23,,,,,,,
Seq_822_LinJ.23,Seq_824_LinJ.23,Seq_825_LinJ.23,Seq_826_LinJ.23,Seq_827_LinJ.23,Seq_828_LinJ.23,Seq_829_LinJ.23,Seq_830_LinJ.23,Seq_831_LinJ.23
Seq_832_LinJ.23,,,,,,,,
Seq_833_LinJ.23,Seq_835_LinJ.23,Seq_836_LinJ.23,Seq_837_LinJ.23,Seq_838_LinJ.23,Seq_839_LinJ.23,Seq_840_LinJ.23,Seq_841_LinJ.23,Seq_842_LinJ.23
Seq_843_LinJ.23,,,,,,,,
Seq_844_LinJ.23,Seq_845_LinJ.23,Seq_846_LinJ.23,,,,,,
Seq_847_LinJ.23,Seq_852_LinJ.23,,,,,,,
Seq_848_LinJ.23,Seq_850_LinJ.23,Seq_851_LinJ.23,,,,,,
Seq_849_LinJ.23,,,,,,,,
Seq_853_LinJ.23,,,,,,,,
Seq_854_LinJ.23,,,,,,,,
